"block_timestamp"	"reason"	"userid"	"matched"
"200710"	"[[Wikipedia:Three-revert rule|Three-revert rule]] violation: +uncivility, misleading edit summaries"	5212148	2
"200602"	"3RR on [[Drow]]"	12620	2
"200804"	"Blocked for 24 hours, due to recent abuse. To appeal or request help, please [[Special:Emailuser/Luna Santin|contact me]], [[#Emailing us|unblock-en-l]], or follow the instructions below."	6981324	2
"200908"	"[[WP:Disruptive editing|Disruptive editing]]"	10324559	2
"200712"	"Repeated incivility and disruption on [[Talk:Gary Weiss]]"	2932636	2
"200603"	"trolling"	252075	2
"200801"	"[[Wikipedia:Vandalism|Vandalism]]"	6306103	2
"200607"	"3rr on... oh no not again... Martin_Luther"	1024738	2
"200706"	"[[Wikipedia:Three-revert rule|Three-revert rule]] violation"	4163444	2
"200709"	"[[Wikipedia:Vandalism|Vandalism]]"	5304852	2
"200801"	"[[Wikipedia:Vandalism|Vandalism]]"	5141262	2
"200912"	"[[WP:Edit war|Edit-warring]] on [[Kevin Trudeau]]"	11135038	2
"201011"	"Vandal account"	5609180	2
"201209"	"[[WP:Vandalism|Vandalism]]"	17466252	2
"200704"	"{{Anonblock}}"	127798	2
"200912"	"[[WP:Disruptive editing|Disruptive editing]]"	11220548	2
"201201"	"[[WP:Edit warring|Edit warring]]: inciting others to edit war on his behalf"	16025526	2
"200802"	"[[Wikipedia:Vandalism|Vandalism]]: Uploading non-FU images repeatedly"	6483813	2
"200703"	"recreation of nonsense articles after multiple warnings"	3861707	2
"200908"	"Creating [[WP:Copyright violations|copyright violations]]"	10332082	2
"200804"	"[[Wikipedia:Vandalism|Vandalism]]"	6647084	2
"200802"	"vandalism-only account"	6149271	2
"201209"	"[[WP:Copyright violations|Copyright violations]]"	17480751	2
"200705"	"Repeated recreationg of [[Grind Productions]]"	4452045	2
"200604"	"likely abusive sock"	1240518	2
"200605"	"vandalism"	1409754	2
"201212"	"[[WP:Disruptive editing|Disruptive editing]]"	18108573	2
"201004"	"[[WP:Disruptive editing|Disruptive editing]]"	2909462	2
"201110"	"[[WP:Vandalism|Vandalism]]"	5304551	2
"201012"	"[[WP:Disruptive editing|Disruptive editing]]: has been asked to not sign talk pages several times without acknowledgement."	13509542	2
"201008"	"Continuing to create inappropriate pages, after warnings"	12822657	2
"201212"	"[[WP:No personal attacks|Personal attacks]] or [[WP:Harassment|harassment]]"	15046519	2
"201109"	"[[WP:Edit warring|Edit warring]]: on [[Total Nonstop Action Wrestling]]."	15206552	2
"200802"	"[[Wikipedia:Vandalism|Vandalism]]"	2453014	2
"200610"	"repeated removal of AFD notices"	2421845	2
"201205"	"Violation of the [[WP:Three-revert rule|three-revert rule]]"	16768981	2
"200804"	"[[WP:Vandalism|Vandalism]]-only account"	6949662	2
"200708"	"[[Wikipedia:Three-revert rule|Three-revert rule]] violation: on [[Aramaean people]]"	743195	2
"200708"	"[[Wikipedia:Vandalism|Vandalism]]"	5072561	2
"200612"	"Vandalism"	2928876	2
"200908"	"[[WP:Edit war|Edit warring]]: Violation of the [[WP:Three-revert rule|three-revert rule]]: on [[Kim Dong-hyun]]"	10101002	2
"200607"	"disruptive incivility, personal attacks"	176402	2
"200703"	"posted to BDORT and Talk:BDORT with a sockpuppet in violation of an ArbCom ruling"	1656569	2
"200607"	"willful recreation of deleted material; vandalism and 3RR as IP 194.75.129.200"	825388	2
"200602"	"vandal"	899229	2
"201110"	"[[WP:Vandalism|Vandalism]]"	15457169	2
"200609"	"[[WP:3RR]] violation on [[Seljuq dynasty]]"	1937630	2
"200811"	"Creating [[WP:Patent nonsense|nonsense]] pages"	6253953	2
"200709"	"nothing but unproductive edit-warring from this user."	3737713	2
"201112"	"[[WP:Disruptive editing|Disruptive editing]]"	14506675	2
"200606"	"continued vandalism and personal attacks"	1358576	2
"200705"	"Silly vandalism"	3778280	2
"200902"	"[[WP:No personal attacks|Personal attacks]] or [[WP:Harassment|harassment]]:&#32;Reinstating block by Georgewilliamherbert below"	492858	2
"200603"	"child porn and other vandalism"	1147266	2
"200805"	"Continued disruption (multiple accounts and repeated creation of poor RfAs) despite warnings."	6748217	2
"200910"	"Abusing [[WP:Sock puppetry|multiple accounts]]: and violation of [[WP:3RR|3RR]]"	10628621	2
"201012"	"[[WP:Vandalism|Vandalism]]: repeated vandalism in [[Bengal]]"	13437123	2
"200704"	"reposting an hoax"	3967696	2
"200805"	"[[WP:Edit war|Edit warring]]"	7150011	2
"200807"	"[[WP:Vandalism|Vandalism]]-only account"	7571622	2
"200810"	"[[WP:Vandalism|Vandalism]]"	7985823	2
"200610"	"Personal attack"	740893	2
"200703"	"content removal, vandalism"	3652282	2
"201005"	"Creating [[WP:Attack page|attack]], [[WP:Patent nonsense|nonsense]] or other inappropriate pages"	12427563	2
"200710"	"vandalism-only account"	5558965	2
"200812"	"straight back to edit-warring off a block"	5790792	2
"200712"	"[[Wikipedia:Vandalism|Vandalism]]"	5997356	2
"200601"	"vandalistic page moves"	302367	2
"200610"	"Sockpuppetry and vandalism"	2616735	2
